Year,Month,location_id,crime_count,weekday,weekend,morning,afternoon,evening,night,holiday_num,num_days,morning_rate,afternoon_rate,evening_rate,night_rate,sin_month,cos_month,time_id,crime_pct_change
2021,6,4,5,2,3,1,0,1,3,1,30,0.2,0.0,0.2,0.6,0.49999999999999994,-0.8660254037844387,24258,0.25
2021,7,4,2,2,0,0,2,0,0,1,31,0.0,1.0,0.0,0.0,1.2246467991473532e-16,-1.0,24259,-0.6
2021,8,4,22,4,18,1,7,14,0,0,31,0.045454545454545456,0.3181818181818182,0.6363636363636364,0.0,-0.4999999999999997,-0.8660254037844388,24260,10.0
2021,9,4,10,3,7,2,1,7,0,1,30,0.2,0.1,0.7,0.0,-0.8660254037844385,-0.5000000000000004,24261,-0.5454545454545454
2021,10,4,23,17,6,2,4,14,3,1,31,0.08695652173913043,0.17391304347826086,0.6086956521739131,0.13043478260869565,-1.0,-1.8369701987210297e-16,24262,1.2999999999999998
2021,11,4,19,17,2,1,8,10,0,2,30,0.05263157894736842,0.42105263157894735,0.5263157894736842,0.0,-0.8660254037844386,0.5000000000000001,24263,-0.17391304347826086
2021,12,4,8,4,4,5,0,3,0,2,31,0.625,0.0,0.375,0.0,-0.5000000000000004,0.8660254037844384,24264,-0.5789473684210527
2022,1,4,8,7,1,1,4,1,2,1,31,0.125,0.5,0.125,0.25,0.0,1.0,24265,0.0
2022,2,4,4,4,0,2,1,0,1,1,28,0.5,0.25,0.0,0.25,0.49999999999999994,0.8660254037844387,24266,-0.5
2022,3,4,12,6,6,2,4,1,5,0,31,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.4166666666666667,0.8660254037844386,0.5000000000000001,24267,2.0
2022,4,4,7,2,5,3,1,3,0,0,30,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.0,1.0,6.123233995736766e-17,24268,-0.41666666666666663
2022,5,4,21,10,11,4,6,10,1,1,31,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.047619047619047616,0.8660254037844387,-0.4999999999999998,24269,2.0
2022,6,4,12,8,4,5,5,0,2,1,30,0.4166666666666667,0.4166666666666667,0.0,0.16666666666666666,0.49999999999999994,-0.8660254037844387,24270,-0.4285714285714286
2022,7,4,12,6,6,3,4,3,2,1,31,0.25,0.3333333333333333,0.25,0.16666666666666666,1.2246467991473532e-16,-1.0,24271,0.0
2022,8,4,11,7,4,2,4,4,1,0,31,0.18181818181818182,0.36363636363636365,0.36363636363636365,0.09090909090909091,-0.4999999999999997,-0.8660254037844388,24272,-0.08333333333333337
2022,9,4,22,13,9,1,11,8,2,1,30,0.045454545454545456,0.5,0.36363636363636365,0.09090909090909091,-0.8660254037844385,-0.5000000000000004,24273,1.0
2022,10,4,22,13,9,5,7,10,0,1,31,0.22727272727272727,0.3181818181818182,0.45454545454545453,0.0,-1.0,-1.8369701987210297e-16,24274,0.0
2022,11,4,20,10,10,3,6,10,1,2,30,0.15,0.3,0.5,0.05,-0.8660254037844386,0.5000000000000001,24275,-0.09090909090909094
2022,12,4,7,7,0,1,5,0,1,1,31,0.14285714285714285,0.7142857142857143,0.0,0.14285714285714285,-0.5000000000000004,0.8660254037844384,24276,-0.65
2023,1,4,7,5,2,2,1,3,1,2,31,0.2857142857142857,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.0,1.0,24277,0.0
2023,2,4,10,7,3,3,2,4,1,1,28,0.3,0.2,0.4,0.1,0.49999999999999994,0.8660254037844387,24278,0.4285714285714286
2023,3,4,8,7,1,0,2,5,1,0,31,0.0,0.25,0.625,0.125,0.8660254037844386,0.5000000000000001,24279,-0.19999999999999996
2023,4,4,15,7,8,1,6,6,2,0,30,0.06666666666666667,0.4,0.4,0.13333333333333333,1.0,6.123233995736766e-17,24280,0.875
